title,snippet,link
Review on Convolutional Neural Networks (CNN) in vegetation remote sensing,"… learning method of Convolutional Neural Networks (CNN) is very … This review introduces the principles of CNN and distils why … data, as well as CNN approaches and architectures. The …",https://www.academia.edu/download/65705615/Kattenborn_et_al._2021_Review_on_Convolutional_Neural_Networks_CNN_in_vegetation_remote_sensing.pdf
Review on convolutional neural network (CNN) applied to plant leaf disease classification,"… those based on convolutional neural network (CNN), have … In this work, we reviewed the latest CNN networks pertinent to … and corresponding solutions of CNN used for plant disease …",https://www.mdpi.com/2077-0472/11/8/707/pdf
"A survey of convolutional neural networks: analysis, applications, and prospects","… CNN is a kind of feedforward neural network that is able to extract features from data with convolution … Different from the traditional feature extraction methods [17]–[19], CNN does not …",https://arxiv.org/pdf/2004.02806
Classification of image using convolutional neural network (CNN),… is the Convolutional Neural Network. We design Convolutional Neural Network to recognize … Almost all CNN architectures follow the same general design principles of successively …,https://www.researchgate.net/profile/Md-Anwar-Hossain-6/publication/333191474_Classification_of_Image_using_Convolutional_Neural_Network_CNN/links/5ce0158c299bf14d95a4cf14/Classification-of-Image-using-Convolutional-Neural-Network-CNN.pdf
Speech emotion recognition using convolutional neural network (CNN),"… Here, the speech emotion recognition is based on the Convolutional Neural Network (CNN) algorithm which uses different modules for the emotion recognition and the classifiers are …",https://www.researchgate.net/profile/Harini-Murugan-2/publication/342231090_Speech_Emotion_Recognition_Using_CNN/links/5eece25e92851ce9e7f10df8/Speech-Emotion-Recognition-Using-CNN.pdf
Improved handwritten digit recognition using convolutional neural networks (CNN),"… , deep belief networks and deep Boltzmann machines. Here, we introduce a convolutional neural network, which is a specific type of deep neural network having wide applications in …",https://www.mdpi.com/1424-8220/20/12/3344/pdf
A survey of the recent architectures of deep convolutional neural networks,"… reported deep CNN architectures and, consequently, classifies the recent innovations in CNN … Additionally, the elementary understanding of CNN components, current challenges, and …",https://arxiv.org/pdf/1901.06032
Convolutional neural network (CNN) for automatic skin cancer classification system,… The system was developed in this study could identify skin cancer and benign tumor lesions automatically using the Convolutional Neural Network (CNN). The proposed model consists …,https://iopscience.iop.org/article/10.1088/1757-899X/982/1/012005/pdf
CNN explainer: learning convolutional neural networks with interactive visualization,"… CNN EXPLAINER, an interactive visualization tool designed for non-experts to learn and examine convolutional neural networks (… CNN EXPLAINER tightly integrates a model overview …",https://arxiv.org/pdf/2004.15004
Transfer learning with deep convolutional neural network (CNN) for pneumonia detection using chest X-ray,… highlighted a visualization technique in CNN to find the region of … convolutional network (FCN) model and pneumonia category classification using a deep convolutional neural network (…,https://www.mdpi.com/2076-3417/10/9/3233/pdf
Emotion recognition using convolutional neural network (CNN),"… CNN, this study proposed a mobile-based emotion recognition using Convolutional Neural Network (CNN… by the implementation of Convolutional Neural Network (CNN) for recognizing …",https://iopscience.iop.org/article/10.1088/1742-6596/1962/1/012040/pdf
Optimizing the topology of convolutional neural network (CNN) and artificial neural network (ANN) for brain tumor diagnosis (BTD) through MRIs,"… of a Convolutional Neural Network (CNN) for the segmentation of brain MRIs is introduced in this article. Ensuring optimal image segmentation quality, this CNN's adjustable hyper-…",https://www.cell.com/heliyon/pdf/S2405-8440(24)11114-0.pdf
XNet: a convolutional neural network (CNN) implementation for medical x-ray image segmentation suitable for small datasets,… This means institutions wishing to train such a network must provide and label their … of neural networks for X-Ray segmentation. We design a unique Convolutional Neural Network (CNN…,https://arxiv.org/pdf/1812.00548
Artificial intelligence (AI) diagnostic tools: Utilizing a convolutional neural network (CNN) to assess periodontal bone level radiographically—A retrospective study,… The purpose of this investigation was to develop a computer-assisted detection system based on a deep convolutional neural network (CNN) algorithm and to evaluate the accuracy …,https://link.springer.com/content/pdf/10.1186/s12903-022-02436-3.pdf
Review on Convolutional Neural Networks (CNN) in vegetation remote sensing,… This review introduces the principles of CNN and distils why they are particularly suitable for … well as CNN approaches and architectures. The literature review showed that CNN can be …,https://www.academia.edu/download/65705615/Kattenborn_et_al._2021_Review_on_Convolutional_Neural_Networks_CNN_in_vegetation_remote_sensing.pdf
"Review of deep learning: concepts, CNN architectures, challenges, applications, future directions","… The main advantage of CNN compared to its predecessors is that it … CNN by presenting the main components of it. Furthermore, we have elaborated in detail the most common CNN …",https://link.springer.com/content/pdf/10.1186/s40537-021-00444-8.pdf
"CNN variants for computer vision: History, architecture, application, challenges and future scope","… As a result, there are several variants of the basic CNN design. This manuscript covers an introduction to CNN, the evolution of CNN over time, various features of CNN design, and the …",https://www.mdpi.com/2079-9292/10/20/2470/pdf
Mesh r-cnn,"… Like Mask R-CNN, we maintain correspondence between the input image and features … [34] as the backbone CNN; the box and mask branches are identical to Mask R-CNN. The voxel …",https://openaccess.thecvf.com/content_ICCV_2019/papers/Gkioxari_Mesh_R-CNN_ICCV_2019_paper.pdf
CNN-generated images are surprisingly easy to spot... for now,… trained on CNN-generated images exhibit a surprising amount of generalization to other CNN synthesis methods; 2) we propose a new dataset and evaluation metric for detecting CNN-…,http://openaccess.thecvf.com/content_CVPR_2020/papers/Wang_CNN-Generated_Images_Are_Surprisingly_Easy_to_Spot..._for_Now_CVPR_2020_paper.pdf
Grid r-cnn,"This paper proposes a novel object detection framework named Grid R-CNN, which adopts a grid guided localization mechanism for accurate object detection. Different from the …",http://openaccess.thecvf.com/content_CVPR_2019/papers/Lu_Grid_R-CNN_CVPR_2019_paper.pdf
Fast point r-cnn,"We present a unified, efficient and effective framework for point-cloud based 3D object detection. Our two-stage approach utilizes both voxel representation and raw point cloud data to …",http://openaccess.thecvf.com/content_ICCV_2019/papers/Chen_Fast_Point_R-CNN_ICCV_2019_paper.pdf
Performance analysis of state-of-the-art cnn architectures for luna16,"The convolutional neural network (CNN) has become a … This study focuses on the intrinsic various CNN architectures: LeNet, … The performances of the three CNN architectures were …",https://www.mdpi.com/1424-8220/22/12/4426/pdf
Understanding of convolutional neural network (cnn): A review,"… CNN has become the most representative neural network in deep learning [12]. CNN has been … After knowing several layers in CNN, we will discuss some popular CNN architectures in …",https://pubs2.ascee.org/index.php/IJRCS/article/download/888/341
Oriented R-CNN for object detection,"… The second stage of oriented R-CNN is oriented R-CNN … Without bells and whistles, we evaluate our oriented RCNN on two … Thus, the oriented R-CNN is a practical object detection …",http://openaccess.thecvf.com/content/ICCV2021/papers/Xie_Oriented_R-CNN_for_Object_Detection_ICCV_2021_paper.pdf
Boundary-preserving mask r-cnn,"… [35], BMask R-CNN achieves considerably significant improvements compared with Mask R-CNN regardless of the backbones. Note that our BMask R-CNN provides larger gains if it …",https://arxiv.org/pdf/2007.08921
Mask scoring r-cnn,"… CNN results and our MS R-CNN results. As Table 1 shows, comparing with Mask R-CNN, our MS R-CNN … backbone networks: Our MS R-CNN can get a remarkable improvement (about …",http://openaccess.thecvf.com/content_CVPR_2019/papers/Huang_Mask_Scoring_R-CNN_CVPR_2019_paper.pdf
Speech emotion recognition using convolutional neural network (CNN),"The Automated Speech Emotion Recognition is a tough process because of the gap among acoustic characteristics and human emotions, which depends strongly on the discriminative …",https://www.researchgate.net/profile/Harini-Murugan-2/publication/342231090_Speech_Emotion_Recognition_Using_CNN/links/5eece25e92851ce9e7f10df8/Speech-Emotion-Recognition-Using-CNN.pdf
More on convolution neural network CNN,"Since the rise of social media and social media platforms, automatic age segregation has become increasingly significant in many programmes. Significant gains in performance may …",https://www.ijsdcs.com/index.php/ijsdcs/article/download/80/86
Crack detection and comparison study based on faster R-CNN and mask R-CNN,"… , and Faster R-CNN and Mask R-CNN are compared and … that both Faster R-CNN and Mask R-CNN complete the crack … effectiveness of the bounding box detected by Mask R-CNN. …",https://www.mdpi.com/1424-8220/22/3/1215/pdf
CNN-Based Chinese NER with Lexicon Rethinking.,"… The first issue is handled using a CNN to process the whole … : 1) We propose a novel CNN structure for incorporating lexicons … In this work, we propose a novel CNN architecture that can …",https://www.ijcai.org/Proceedings/2019/0692.pdf
Completely automated CNN architecture design based on blocks,… to design a CNN with … CNN architectures by using a genetic algorithm (GA) based on ResNet and DenseNet blocks. The proposed algorithm is completely automatic in designing CNN …,https://openaccess.wgtn.ac.nz/articles/journal_contribution/Completely_Automated_CNN_Architecture_Design_Based_on_Blocks/13158305/1/files/25303571.pdf
Fundamentals of recurrent neural network (RNN) and long short-term memory (LSTM) network,"… , the Recurrent Neural Network (RNN), which is the general class of a neural network that is the … We focus on the RNN first, because the LSTM network is a type of an RNN, and since the …",https://arxiv.org/pdf/1808.03314
Recurrent neural networks (rnns): A gentle introduction and overview,"… In theory, this unfolds the RNN to construct a traditional Feedfoward Neural Network where we can apply backpropagation. For that, we use the same notations for the RNN as proposed …",https://arxiv.org/pdf/1912.05911
Stock market prediction using LSTM recurrent neural network,… This article aims to build a model using Recurrent Neural Networks (RNN) and especially Long-Short Term Memory model (LSTM) to predict future stock market values. The main …,https://www.sciencedirect.com/science/article/pii/S1877050920304865/pdf?md5=f0f2446923ca23a6818f69ae22186b4c&pid=1-s2.0-S1877050920304865-main.pdf
Understanding LSTM--a tutorial into long short-term memory recurrent neural networks,"… A partial recurrent neural network with a fully connected recurrent hidden … recurrent neural networks are Backpropagation Through Time (BPTT) [62, 74, 75] and Real-Time Recurrent …",https://arxiv.org/pdf/1909.09586
Recurrent neural network wave functions,… Some of the most important algorithmic advances in NLP have been developed in the context of sequence learning using recurrent neural networks (RNNs) [20–24]. These have …,https://link.aps.org/pdf/10.1103/PhysRevResearch.2.023358
Recurrent neural networks: An embedded computing perspective,"… imposes some optimizations to RNN applications. Embedded … RNN applications efficiently on embedded platforms, RNN … article, we study RNN models and specifically focus on RNN …",https://ieeexplore.ieee.org/iel7/6287639/8948470/09044359.pdf
Evaluating recurrent neural network explanations,"… Along-the-way we purposely adapted a simple toy task, to serve as a testbed for recurrent neural networks explanations. Lastly, we explore how word relevances can be used to build …",https://arxiv.org/pdf/1904.11829
Wave physics as an analog recurrent neural network,"… the computation in recurrent neural networks. This mapping … , using standard training techniques for neural networks. As a … implementation of a recurrent neural network. These findings …",https://www.science.org/doi/pdf/10.1126/sciadv.aay6946
ChronoNet: A deep recurrent neural network for abnormal EEG identification,"… In this section, we will use the concepts of inception modules and densely connected networks to build novel recurrent neural networks architectures for time-series classification. …",https://arxiv.org/pdf/1802.00308
Sentiment analysis using recurrent neural network,… sentiment analysis classification model using deep learning and neural networks. This study used the algorithm Recurrent Neural Network (RNN) and Word2vec. No previous research …,https://iopscience.iop.org/article/10.1088/1742-6596/1471/1/012018/pdf
Using a long short-term memory recurrent neural network (LSTM-RNN) to classify network attacks,"… Commonly used deep learning-based approaches include the deep neural network (DNN) [12,13], the recurrent neural network (RNN) [14,15], the convolutional neural network (CNN) […",https://www.mdpi.com/2078-2489/11/5/243/pdf
Predrnn: A recurrent neural network for spatiotemporal predictive learning,"… In this paper, we train neural networks parametrized by u. Concretely, we use stochastic … the Predictive Recurrent Neural Network (PredRNN). For Challenge I, we present a new RNN …",https://arxiv.org/pdf/2103.09504
Fundamentals of recurrent neural network (RNN) and long short-term memory (LSTM) network,"… with training the standard RNN and address them by transforming the RNN into the “Vanilla … on the RNN first, because the LSTM network is a type of an RNN, and since the RNN is a …",https://arxiv.org/pdf/1808.03314
Do RNN and LSTM have long memory?,"… We incorporate this memory filter structure into RNN and LSTM and introduce Memoryaugmented RNN (… Thus, we compare our models with MIST RNN and RWA in the experiments. …",http://proceedings.mlr.press/v119/zhao20c/zhao20c.pdf
A comparative study on transformer vs rnn in speech applications,… (RNN) in natural language processing tasks. This paper provides intensive comparisons of its performance with that of RNN … ) than the conventional RNN based models. Our goal is to …,https://arxiv.org/pdf/1909.06317
Deep rnn framework for visual sequential applications,"… RNN framework with 15 layers, 7× than conventional RNN net… relative improvements over shallow RNN models on Kinetics, … replacing the shallow RNN part of Polygon-RNN with our 15-…",https://openaccess.thecvf.com/content_CVPR_2019/papers/Pang_Deep_RNN_Framework_for_Visual_Sequential_Applications_CVPR_2019_paper.pdf
A formal hierarchy of RNN architectures,"… the internal structure of the RNN can be described by WFAs. … On the other hand, we show that the saturated Elman RNN … power beyond any saturated RNN we consider—including the …",https://arxiv.org/pdf/2004.08500
Advancing RNN transducer technology for speech recognition,"… We investigate a set of techniques for RNN Transducers (RNN-Ts) that were instrumental in … Second, we discuss the applicability of i-vector speaker adaptation to RNNTs in conjunction …",https://arxiv.org/pdf/2103.09935
Design and development of RNN anomaly detection model for IoT networks,"… The primary aim of this paper is to develop an RNN based … layers to develop a novel RNN and CNNRNN based model for … Overfitting of the RNN model was assessed using drop layer, …",https://ieeexplore.ieee.org/iel7/6287639/6514899/09777970.pdf
A CNN-RNN framework for crop yield prediction,"… The proposed CNN-RNN model, along with other … CNN-RNN has three salient features that make it a potentially useful method for other crop yield prediction studies. (1) The CNN-RNN …",https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2019.01750/pdf
Accurate photovoltaic power forecasting models using deep LSTM-RNN,"… In this paper, we propose the use of long short-term memory recurrent neural network (LSTM-RNN) to accurately forecast the output power of PV systems. The LSTM networks can …",https://www.academia.edu/download/55351805/10.1007_s00521-017-3225-z.pdf
Improving RNN transducer modeling for end-to-end speech recognition,"… propose how to improve the RNN-T training by reducing the memory consumption which constrains the training minibatch size because of the large-size tensors in RNN-T. In Section 4, …",https://arxiv.org/pdf/1909.12415
Human activity recognition using LSTM-RNN deep neural network architecture,"… LSTM has been designed to overcome these issues that arise in RNN architectures. LSTM and … In other words, traditional RNN cells have a single internal layer that acts on the current …",https://arxiv.org/pdf/1905.00599
"Performance evaluation of deep neural networks applied to speech recognition: RNN, LSTM and GRU","… Recurrent Neural Network (RNN) is another class of network … Speech involves a dynamic process, and thus, RNN seems a … same as bidirectional RNN, however, instead of RNN we use …",https://sciendo.com/pdf/10.2478/jaiscr-2019-0006
Using a long short-term memory recurrent neural network (LSTM-RNN) to classify network attacks,"… ) with a recurrent neural network (RNN). We found that using LSTM-RNN classifiers with the … In this section, we will describe the architecture of RNN and long short-term memory (LSTM)…",https://www.mdpi.com/2078-2489/11/5/243/pdf
Fundamentals of recurrent neural network (RNN) and long short-term memory (LSTM) network,"… learn about the Long Short-Term Memory network (henceforth, “the LSTM network”) … RNN and LSTM network architectures. Naturally, some practitioners, even if new to the RNN/LSTM …",https://arxiv.org/pdf/1808.03314
Application of long short-term memory (LSTM) neural network for flood forecasting,"… This paper suggests a Long Short-Term Memory (LSTM) neural network model for flood forecasting, where the daily discharge and rainfall were used as input data. Moreover, …",https://www.mdpi.com/2073-4441/11/7/1387/pdf
Intrusion detection systems using long short-term memory (LSTM),"… In this paper, we implemented deep learning solutions for detecting attacks based on Long Short-Term Memory (LSTM). PCA (principal component analysis) and Mutual information (MI) …",https://link.springer.com/content/pdf/10.1186/s40537-021-00448-4.pdf
A review on the long short-term memory model,"… As for the search criteria on which this literature review is based, we evaluated 409 papers containing the terms “Long short-term memory” or “LSTM” in either the title, abstract or …",https://www.researchgate.net/profile/Gonzalo-Napoles/publication/340493274_A_Review_on_the_Long_Short-Term_Memory_Model/links/5ec26516458515626cb0bcff/A-Review-on-the-Long-Short-Term-Memory-Model.pdf?_sg%5B0%5D=started_experiment_milestone&_sg%5B1%5D=started_experiment_milestone&origin=journalDetail
Long short-term memory (LSTM) recurrent neural network for low-flow hydrological time series forecasting,… of a long short-term memory recurrent neural network (LSTM-RNN) and artificial intelligence (AI) method for low-flow time series forecasting. The long short-term memory works on the …,https://www.researchgate.net/profile/Bibhuti-Sahoo-4/publication/334595611_Long_short-term_memory_LSTM_recurrent_neural_network_for_low-flow_hydrological_time_series_forecasting/links/5f697a1ba6fdcc0086342ba9/Long-short-term-memory-LSTM-recurrent-neural-network-for-low-flow-hydrological-time-series-forecasting.pdf
Brain tumor detection: a long short-term memory (LSTM)-based learning model,"… , a novel approach is proposed based on long short-term memory (LSTM) model using magnetic … The presented deep LSTM model having four layers is utilized for classification. In each …",https://www.academia.edu/download/112816704/s00521-019-04650-720240328-1-r5fnxt.pdf
Hydrological concept formation inside long short-term memory (LSTM) networks,"… have demonstrated that the internal states of long short-term memory networks (LSTMs), a … the LSTM captures about the hydrological system. We assess the hypothesis that the LSTM …",https://hess.copernicus.org/articles/26/3079/2022/hess-26-3079-2022.pdf
Long short-term memory-Fully connected (LSTM-FC) neural network for PM2. 5 concentration prediction,… two components: (1) Using a long short-term memory (LSTM)-based temporal simulator to … long short-term memory (LSTM) models on the same dataset. The results show that our LSTM-…,https://pris.bit.edu.cn/docs/20200615072240489223.pdf
Sentiment analysis using Word2vec and long short-term memory (LSTM) for Indonesian hotel reviews,… of Long-Short Term Memory (LSTM) model as well as the Word2Vec model. The integration of Word2Vec and LSTM … Whereas the parameter combinations for LSTM are dropout value is …,https://www.sciencedirect.com/science/article/pii/S1877050921000752/pdf?md5=f306c4792b8603dacddc40b33cab1e8c&pid=1-s2.0-S1877050921000752-main.pdf
Reconstruction of missing groundwater level data by using Long Short-Term Memory (LSTM) deep neural network,"… This study evaluates Long Short-Term Memory (LSTM) neural network modeling to reconstruct GWLs, fill gaps and extend existing time-series. The approach is illustrated by using …",https://www.sciencedirect.com/science/article/am/pii/S0022169420312373
Using a long short-term memory recurrent neural network (LSTM-RNN) to classify network attacks,"… ) with a recurrent neural network (RNN). We found that using LSTM-RNN classifiers with the … In this section, we will describe the architecture of RNN and long short-term memory (LSTM)…",https://www.mdpi.com/2078-2489/11/5/243/pdf
Deep learning with long short-term memory for time series prediction,"… able computing cost of LSTM, we put forward a … , Long Short-Term Memory (LSTM) has been revolutionarily designed by changing the structure of the hidden neurons in traditional RNN […",https://arxiv.org/pdf/1810.10161
Mogrifier lstm,"… While the LSTM is typically presented as a solution to the … In this sense, the LSTM nudges Elman Networks towards … Here, instead, we take a more cautious step, and equip the LSTM …",https://arxiv.org/pdf/1909.01792
Fundamentals of recurrent neural network (RNN) and long short-term memory (LSTM) network,"… and the method for presenting the LSTM system emphasizes ease of … LSTM system and incorporate these extensions into the Vanilla LSTM network, producing the most general LSTM …",https://arxiv.org/pdf/1808.03314
Deep learning: RNNs and LSTM,… LSTM and GRUs give exponentially many paths between … We first remark that many different variants of LSTM and GRUs … The most common variant of LSTM is described by(21.37) f t = …,https://sci-hub.gg/downloads/2019-10-27/15/10.1016@B978-0-12-816176-0.00026-0.pdf
The performance of LSTM and BiLSTM in forecasting time series,"… layers of training data into the LSTM. To investigate whether incorporating additional layers … an LSTM improves its prediction, this paper explores the performance of Bidirectional LSTM (…",https://par.nsf.gov/servlets/purl/10186554
A survey on LSTM memristive neural network architectures and applications,… why LSTM neural network has been developed. We provide a tutorial survey on the existing LSTM methods and highlight the recent developments in memristive LSTM architectures. …,https://www.researchgate.net/profile/A-James-3/publication/333321491_A_survey_on_LSTM_memristive_neural_network_architectures_and_applications/links/5ce6d011a6fdccc9ddca5325/A-survey-on-LSTM-memristive-neural-network-architectures-and-applications.pdf
EA-LSTM: Evolutionary attention-based LSTM for time series prediction,"… on LSTM. Then, inspired by the input information of the human brain’s attention mechanism, we introduced a layer of attention in LSTM. … defects of the traditional LSTM. Furthermore, our …",https://arxiv.org/pdf/1811.03760
Working memory connections for LSTM,"… model (LSTM-WC) to a traditional LSTM and to an LSTM with peephole connections (LSTM-PH). … In both settings, our LSTM-WM outperforms traditional LSTM and LSTM-PH by a clear …",https://arxiv.org/pdf/2109.00020
At-lstm: An attention-based lstm model for financial time series prediction,"… LSTM model and AT-LSTM for financial time series prediction is shown in figure 1. Since the encoding of the attention model requires the LSTM units, we will introduce the LSTM neural …",https://iopscience.iop.org/article/10.1088/1757-899X/569/5/052037/pdf
Short-term load forecasts using LSTM networks,"… However, further data processing is not required for LSTM except the removal of yearly seasonality because we have only one years’ data to train which would lead the LSTM network …",https://www.sciencedirect.com/science/article/pii/S1876610219310008/pdf?md5=006969cac5857353de6c9e8f0311c273&pid=1-s2.0-S1876610219310008-main.pdf
Unsupervised anomaly detection with LSTM neural networks,… length data sequences through an LSTM-based structure to … train the parameters of the LSTM architecture and the OC-… the LSTM architecture and optimize the parameters of the LSTM …,https://arxiv.org/pdf/1710.09207
Large-batch training for LSTM and beyond,"… ) with LSTM, we are able to scale the batch size by a factor of 16 without losing accuracy and without tuning the hyper-parameters mentioned above. For the PTB dataset with LSTM, we …",https://arxiv.org/pdf/1901.08256
A CNN‐LSTM‐based model to forecast stock prices,"… adopt LSTM to predict the stock price with the extracted feature data. According to the experimental results, the CNN-LSTM … with LSTM, after CNN layer, MAE and RMSE of CNN-LSTM …",https://onlinelibrary.wiley.com/doi/pdf/10.1155/2020/6622927
Co-LSTM: Convolutional LSTM model for sentiment analysis in social big data,"… In this paper, normal LSTM model is adopted instead of bidirectional LSTM as bidirectional LSTM are found to be more complex and needs huge computational power. They also need …",https://www.researchgate.net/profile/Sanjay-Misra-6/publication/347379205_Co-LSTM_Convolutional_LSTM_model_for_sentiment_analysis_in_social_big_data/links/5fdde05945851553a0cefa15/Co-LSTM-Convolutional-LSTM-model-for-sentiment-analysis-in-social-big-data.pdf
Groundwater level prediction with meteorologically sensitive Gated Recurrent Unit (GRU) neural networks,"… of Gated Recurrent Unit (GRU) deep learning-based neural network models via the module of sequence-to-sequence regression are designed. In this sense, 180-time series datasets of …",https://openaccess.hku.edu.tr/xmlui/bitstream/handle/20.500.11782/3040/makale%20-%20yay%C4%B1nc%C4%B1%20s%C3%BCr%C3%BCm%C3%BC.pdf?sequence=1&isAllowed=y
Application of gated recurrent unit (GRU) neural network for smart batch production prediction,"… This study proposed a Gated Recurrent Unit (GRU) neural network-based model to achieve batch production forecasting in M conglomerate reservoir of China, which tackles the …",https://www.mdpi.com/1996-1073/13/22/6121/pdf
OGRU: An optimized gated recurrent unit neural network,"… deep GRU neural network model, this paper proposes an optimized Gated Recurrent Unit (… optimizes the learning mechanism of the standard GRU model gating unit. The output of the …",https://iopscience.iop.org/article/10.1088/1742-6596/1325/1/012089/pdf
Predicting machine failure using recurrent neural network-gated recurrent unit (RNN-GRU) through time series data,… recurrent neural network-gated recurrent unit (RNN-GRU) to forecast the state of machines producing the time series data in an oil and gas sector. RNN-GRU is an affiliation of recurrent …,https://beei.org/index.php/EEI/article/download/2036/2127
Data-gru: Dual-attention time-aware gated recurrent unit for irregular multivariate time series,"… Therefore, we propose a novel end-to-end Dual-Attention Time-Aware Gated Recurrent Unit (DATA-GRU) for IMTS to predict the mortality risk of patients. In particular, DATA-GRU is …",https://ojs.aaai.org/index.php/AAAI/article/view/5440/5296
ET-GRU: using multi-layer gated recurrent units to identify electron transport proteins,"… In this paper, we present a novel approach by using deep gated recurrent units (GRU) on full PSSMs to resolve this problem. Our approach can precisely predict the electron …",https://link.springer.com/content/pdf/10.1186/s12859-019-2972-5.pdf
Recurrent attention unit: A new gated recurrent unit for long-term memory of important parts in sequential data,"… Gated recurrent unit (GRU) is a variant of the recurrent neural network (RNN). It has been widely used in many applications, such as handwriting recognition and natural language …",https://researchportal.port.ac.uk/files/65336197/Recurrent_attention_unit_A_new_gated_recurrent_unit_pp.pdf
A gated recurrent unit approach to bitcoin price prediction,"… In particular, we developed a gated recurring unit (GRU) architecture that can learn the Bitcoin price fluctuations more efficiently than the traditional LSTM. We compare our model with a …",https://www.mdpi.com/1911-8074/13/2/23/pdf
DIDDOS: An approach for detection and identification of Distributed Denial of Service (DDoS) cyberattacks using Gated Recurrent Units (GRU),… attacks using Gated Recurrent Unit (GRU) a type of Recurrent Neural … Gated Recurrent Unit (GRU) aims to solve the vanishing gradient problem which comes with a standard recurrent …,https://e-space.mmu.ac.uk/627611/1/FGCS-%20DIDDOS-%20DeepDDosDetectionAnalysis.pdf
Forecasting of COVID-19 using deep layer recurrent neural networks (RNNs) with gated recurrent units (GRUs) and long short-term memory (LSTM) cells,"… of the forget gate, output gate, input gate and update … gate decides what to forget from the previous memory units, the input gate decides what to accept into the neuron, the update gate …",https://www.sciencedirect.com/science/article/am/pii/S0960077921002149
Water level prediction model applying a long short-term memory (lstm)–gated recurrent unit (gru) method for flood prediction,"… A key parameter of flooding is water level data, and this paper proposes a water level prediction model using long short-term memory (LSTM) and a gated recurrent unit (GRU). As …",https://www.mdpi.com/2073-4441/14/14/2221/pdf
SiTGRU: single-tunnelled gated recurrent unit for abnormality detection,"… Gated Recurrent Unit (GRU), called Single-Tunnelled GRU for abnormality detection. Particularly, the Single-Tunnelled GRU discards the heavy-weighted reset gate from GRU … -gated-…",https://arxiv.org/pdf/2003.13528
An autoencoder gated recurrent unit for remaining useful life prediction,"… Gated Recurrent Unit (AE-GRU), in which the Autoencoder (AE) extracts the important features from the raw data and the Gated Recurrent Unit (GRU… of the proposed AE-GRU model, an …",https://www.mdpi.com/2227-9717/8/9/1155/pdf
